path,track_id,folder,label,class_name
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-0Gj8-vB1q4.wav,-0Gj8-vB1q4,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-0Gj8-vB1q4.wav,-0Gj8-vB1q4,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-0SdAVK79lg.wav,-0SdAVK79lg,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-0SdAVK79lg.wav,-0SdAVK79lg,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-0vPFx-wRRI.wav,-0vPFx-wRRI,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-0vPFx-wRRI.wav,-0vPFx-wRRI,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-0xzrMun0Rs.wav,-0xzrMun0Rs,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-0xzrMun0Rs.wav,-0xzrMun0Rs,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-1LrH01Ei1w.wav,-1LrH01Ei1w,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-1LrH01Ei1w.wav,-1LrH01Ei1w,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-1OlgJWehn8.wav,-1OlgJWehn8,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-1OlgJWehn8.wav,-1OlgJWehn8,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-1UWSisR2zo.wav,-1UWSisR2zo,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-1UWSisR2zo.wav,-1UWSisR2zo,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-3Kv4fdm7Uk.wav,-3Kv4fdm7Uk,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-3Kv4fdm7Uk.wav,-3Kv4fdm7Uk,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-4NLarMj4xU.wav,-4NLarMj4xU,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-4NLarMj4xU.wav,-4NLarMj4xU,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-4SYC2YgzL8.wav,-4SYC2YgzL8,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-4SYC2YgzL8.wav,-4SYC2YgzL8,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-5FoeegAgvU.wav,-5FoeegAgvU,musicldm,2,MusicLDM
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/mustango/-5FoeegAgvU.wav,-5FoeegAgvU,mustango,3,Mustango
/content/drive/MyDrive/Colab Notebooks/Education/ProgMathsAI/Datasets/Fake Music Caps/musicldm/-5f6hjZf9Yw.wav,-5f6hjZf9Yw,musicldm,2,MusicLDM
